city,resource_name,resource_type,address,lat,lon,hours_weekday,verified_status,water_available,indoor_cooling,capacity_estimate,current_occupancy_pct,readiness_score,dispatch_priority,phone,notes
Šibenik,Opća bolnica Šibensko-kninske županije,Hospital / health point,"Ulica Stjepana Radića 83, 22000 Šibenik",43.7324153,15.9000248,24/7,Verified,Yes,Yes,120,72,95,98,+385 (0)22 641 641,"Acute health fallback; use for urgent heat stress, not long-stay shelter. Zdravstvena točka; pristup i čekanje ovise o bolničkim pravilima i stanju na terenu"
Šibenik,Zavod za hitnu medicinu Šibensko-kninske županije,Emergency medical service / health point,"Narodnog preporoda 1, 22000 Šibenik",43.7057483,15.9190095,24/7,Partial,Yes,Yes,35,58,93,96,+385 (0)22 216 827 / 194,Rapid medical fallback; coordinate before non-emergency mass diversion. Partially verified. Koordinate su street-level geocode za službenu adresu; stariji županijski adresar navodi i staru adresu Karla Vipauca 8
Šibenik,Gradska knjižnica Juraj Šižgorić,Library / public indoor space,"Poljana 6, 22000 Šibenik",43.7345537,15.8928935,08:00-20:00,Verified,Yes,Yes,60,30,82,84,+385 (0)22 201-280,Quiet indoor fallback; good for elderly and short daytime cooling. Ulaz/boravak u prostoru je javan; pravila članstva i posudbe ovise o knjižnici
Šibenik,Sportska dvorana Baldekin,Sports hall / cooling shelter,"Ul. Stjepana Radića 44, 22000 Šibenik",43.7302519,15.9004649,Unknown,Partial,Yes,Yes,300,18,66,79,,"Large indoor hall; official venue capacity is much higher, but shelter capacity is conservatively estimated. Verify staffing/opening before dispatch."
Šibenik,Turističko informativni centar Šibenik (TIC),Tourist info point / public indoor space,"Obala palih omladinaca 3, 22000 Šibenik",43.7360885,15.8886674,08:00-20:00,Verified,Yes,Yes,25,45,74,73,+385 (0)22 214 411; +385 (0)22 214 448,"Central public counter; useful for wayfinding and tourist-heavy foot traffic. Koristan servisni punkt za informacije, hlad i osnovnu orijentaciju u gradu"
Šibenik,Perivoj Roberta Visianija,Shaded public space,"Perivoj Roberta Visianija, centar Šibenika",43.7338571,15.892886,Unknown,Verified,Unknown,No,80,25,58,62,,"Outdoor shade only; good for short relief, not medical escalation. Sjenovit gradski perivoj u centru; dobar za kratko sklanjanje od sunca na otvorenom"
Šibenik,Živa sedrena fontana,Water point,"Ispred crkve Gospe vanka Grada, Šibenik",43.734125,15.894232,Unknown,Partial,Yes,No,20,12,48,55,,Outdoor public water/fountain stop; potable status should be confirmed on site. Partially verified. Povijesna fontana; točna karta/koordinate treba ručno potvrditi prije produkcijskog korištenja
Zadar,Opća bolnica Zadar,Hospital / health point,"Bože Peričića 5, 23000 Zadar",44.1074609,15.234476,24/7,Verified,Yes,Yes,120,72,95,98,+385 23 505 505,"Acute health fallback; use for urgent heat stress, not long-stay shelter. Velika zdravstvena točka u gradu"
Zadar,Zavod za hitnu medicinu Zadarske županije,Emergency medical service / health point,"Ivana Mažuranića 28, 23000 Zadar",44.1201698,15.2325564,24/7,Partial,Yes,Yes,35,58,93,96,+385 (0)23 627 188 / 194,Rapid medical fallback; coordinate before non-emergency mass diversion. Partially verified. Koordinate su street-level geocode službene adrese
Zadar,Gradska knjižnica Zadar,Library / public indoor space,"Stjepana Radića 11b, 23000 Zadar",44.1182714,15.2336734,Unknown,Verified,Yes,Yes,80,30,82,84,+385 (0)23 301 103,Quiet indoor fallback; good for elderly and short daytime cooling. Javna knjižnica; članstvo i posudba prema pravilima ustanove
Zadar,Znanstvena knjižnica Zadar,Library / public indoor space,"Ante Kuzmanića 3, 23000 Zadar",44.1123702,15.2282081,07:00-21:00,Partial,Yes,Yes,70,30,82,84,+385 (0)23 214 892,Quiet indoor fallback; good for elderly and short daytime cooling. Partially verified. Rad sa strankama potvrđen za pojedine službe 07-21; koordinate su street-level geocode službene adrese
